Epochs,loss,accuracy,val_loss,val_accuracy,lr
61,0.348074347,0.870248139,0.370459974,0.861692429,0.00025
62,0.351131856,0.870248139,0.367655098,0.867151976,0.00025
63,0.345765144,0.870703399,0.365851343,0.864422202,0.00025
64,0.348660022,0.868654668,0.364793867,0.860782504,0.00025
65,0.345113665,0.87320739,0.366213024,0.865332127,0.00025
66,0.345354348,0.871158659,0.370003939,0.864422202,0.00025
67,0.345741689,0.869792879,0.371756017,0.866242051,0.00025
68,0.345622778,0.87206918,0.368598133,0.8680619,0.00025
69,0.348389983,0.869337559,0.367201954,0.860782504,0.00025
70,0.342811495,0.869337559,0.36696589,0.866242051,0.000125
71,0.345310599,0.87206918,0.364994615,0.865332127,0.000125
72,0.33984974,0.87297976,0.364679933,0.863512278,0.000125
73,0.340239584,0.873662651,0.36422801,0.865332127,0.000125
74,0.3379848,0.87229681,0.361938208,0.867151976,0.000125
75,0.341414005,0.869565189,0.359889477,0.865332127,0.000125
76,0.339408398,0.87320739,0.359605104,0.863512278,0.000125
77,0.338884592,0.8725245,0.3615399,0.862602353,0.000125
78,0.335521966,0.869337559,0.360515714,0.863512278,0.000125
79,0.334035724,0.867971778,0.360530585,0.863512278,0.000125
80,0.334883213,0.870931029,0.360720813,0.864422202,0.000125
81,0.336321622,0.87275213,0.360591143,0.864422202,0.000125
82,0.331423044,0.87343502,0.358682752,0.863512278,6.25E-05
83,0.331814706,0.870931029,0.358930975,0.867151976,6.25E-05
84,0.331408858,0.874345541,0.359482616,0.866242051,6.25E-05
85,0.333288908,0.87297976,0.358283162,0.864422202,6.25E-05
86,0.329457104,0.875939012,0.358955622,0.864422202,6.25E-05
87,0.330120385,0.870475769,0.357426703,0.863512278,6.25E-05
88,0.331274897,0.873662651,0.359203607,0.863512278,6.25E-05
89,0.334712267,0.870248139,0.35897705,0.863512278,6.25E-05
90,0.329965472,0.875028431,0.357205302,0.864422202,6.25E-05
91,0.32971102,0.8725245,0.357603312,0.863512278,6.25E-05
92,0.32826975,0.87320739,0.357472956,0.863512278,6.25E-05
93,0.334096849,0.87138629,0.355136067,0.863512278,6.25E-05
94,0.334378541,0.87343502,0.356041491,0.864422202,6.25E-05
95,0.336396486,0.866833627,0.356127977,0.862602353,6.25E-05
96,0.332105428,0.873662651,0.356595576,0.863512278,6.25E-05
97,0.329081148,0.875939012,0.356819361,0.863512278,6.25E-05
98,0.331122249,0.874800801,0.356817424,0.8680619,6.25E-05
99,0.327173501,0.870931029,0.356446892,0.866242051,3.13E-05
